iter	Passed	Remaining
0	131	26223
1	132	13100
2	132	8722
3	133	6537
4	133	5223
5	134	4349
6	135	3725
7	135	3257
8	136	2892
9	136	2599
10	137	2361
11	138	2162
12	138	1994
13	139	1849
14	139	1723
15	140	1612
16	140	1515
17	141	1431
18	142	1357
19	143	1288
20	144	1228
21	144	1171
22	145	1118
23	145	1067
24	146	1022
25	146	980
26	147	942
27	147	907
28	148	873
29	148	842
30	149	813
31	149	785
32	150	760
33	150	736
34	151	713
35	151	692
36	152	671
37	153	652
38	153	633
39	154	617
40	155	602
41	156	587
42	156	572
43	157	558
44	158	544
45	158	530
46	159	518
47	160	506
48	160	495
49	161	484
50	162	473
51	162	463
52	163	453
53	164	443
54	164	434
55	165	426
56	166	418
57	167	411
58	168	402
59	169	394
60	170	387
61	170	379
62	171	372
63	171	365
64	172	358
65	173	351
66	173	344
67	174	338
68	174	332
69	175	326
70	176	319
71	176	314
72	177	308
73	177	303
74	178	297
75	179	292
76	179	287
77	180	282
78	181	278
79	182	273
80	183	269
81	183	264
82	184	259
83	185	255
84	185	251
85	186	246
86	186	242
87	187	238
88	188	234
89	188	230
90	189	226
91	189	222
92	190	218
93	190	215
94	191	211
95	191	207
96	192	204
97	193	201
98	194	198
99	195	195
100	196	192
101	197	189
102	197	186
103	198	183
104	198	179
105	199	176
106	200	173
107	200	170
108	201	167
109	201	165
110	202	162
111	203	159
112	203	156
113	204	154
114	204	151
115	205	148
116	206	146
117	206	143
118	207	141
119	208	138
120	209	136
121	210	134
122	211	132
123	211	129
124	212	127
125	213	125
126	213	122
127	214	120
128	214	118
129	215	116
130	216	113
131	216	111
132	217	109
133	217	107
134	218	105
135	219	103
136	219	101
137	220	99
138	220	96
139	221	94
140	224	94
141	225	92
142	226	90
143	226	88
144	227	86
145	227	84
146	228	82
147	229	80
148	229	78
149	230	76
150	230	74
151	231	73
152	232	71
153	232	69
154	233	67
155	233	65
156	234	64
157	234	62
158	235	60
159	236	59
160	237	57
161	237	55
162	238	54
163	238	52
164	239	50
165	240	49
166	240	47
167	241	45
168	241	44
169	242	42
170	242	41
171	243	39
172	244	38
173	244	36
174	245	35
175	245	33
176	246	32
177	247	30
178	247	29
179	248	27
180	249	26
181	249	24
182	250	23
183	251	21
184	251	20
185	252	19
186	253	17
187	253	16
188	254	14
189	255	13
190	255	12
191	256	10
192	256	9
193	257	7
194	258	6
195	258	5
196	259	3
197	259	2
198	260	1
199	260	0
