binary_value,float_value_1,float_value_2,float_value_3,float_value_4
1,60.9970,-2.1306,0.483014,1231.051
1,96.6301,2.5674,0.583668,1054.629
0,17.7271,-27.1603,0.378548,756.432
0,49.0122,-19.6481,0.075291,1926.640
0,97.8033,-2.6199,0.188323,1066.519
1,55.3657,-20.7435,0.734689,1623.061
0,19.8055,4.7700,0.075585,641.714
0,40.3357,6.7042,0.626905,1592.453
1,99.1589,-26.8095,0.179280,1668.841
1,76.8520,24.9451,0.773144,1029.645
1,16.9140,4.6539,0.667463,1401.543
0,15.3635,-13.4300,0.105335,1332.418
1,81.2025,18.4860,0.834961,1457.656
1,59.7770,28.3046,0.284072,795.879
0,87.8386,2.7376,0.346988,947.270
1,92.4858,-13.3768,0.409096,774.138
1,63.7905,-7.1321,0.381592,1137.748
0,62.0490,24.7223,0.474556,620.407
0,12.7191,0.3841,0.071960,726.686
0,18.3488,-16.9071,0.540843,1592.729
1,79.6777,7.9008,0.575891,1964.998
1,62.3513,-16.1654,0.369283,1629.223
0,87.6581,22.0242,0.922576,1086.566
1,43.0893,-4.4095,0.409795,614.392
1,68.5733,-0.1688,0.203801,1065.779
0,37.1985,-1.5800,0.195864,1185.937
1,70.6644,14.1726,0.680610,1378.414
0,0.6224,18.3144,0.404927,1970.014
0,38.9913,2.5653,0.721741,1986.386
1,26.0120,5.0295,0.680916,817.775
0,75.6979,18.5051,0.464582,947.351
1,29.9591,-4.3272,0.198705,1591.138
1,14.9846,-27.9173,0.911992,632.135
0,14.0371,-18.8123,0.336967,535.879
1,62.5653,-28.7051,0.429786,706.399
0,14.2978,16.5267,0.212877,1150.551
0,78.8160,17.5651,0.984014,570.943
1,89.8225,-13.7023,0.382376,1511.289
0,57.8344,6.3921,0.677501,1860.258
0,35.5201,7.8458,0.633651,1412.332
0,7.3659,-15.1885,0.656997,918.201
1,73.5398,-7.2820,0.326983,886.843
1,52.4145,-17.0998,0.765004,1607.458
1,35.7095,-26.9581,0.864696,770.516
1,86.8742,18.2451,0.662774,1934.578
0,1.9118,-9.3552,0.522947,1023.175
0,51.2215,-21.4923,0.604655,1445.880
1,54.1301,-21.8547,0.705214,894.429
0,51.9592,26.6788,0.124481,1858.631
1,36.3341,20.4918,0.939196,1432.742
0,30.4503,15.9640,0.453307,685.615
0,26.9574,5.0451,0.700611,1886.143
1,39.1317,21.3412,0.978199,1359.136
0,38.2350,6.6209,0.134418,1734.267
0,22.1341,-9.2709,0.601744,511.993
0,92.4096,10.7763,0.757020,1119.494
0,17.7587,-5.7069,0.901119,1875.593
1,74.6149,11.3093,0.480912,1544.321
1,95.7216,-3.8914,0.781118,1246.592
1,66.3906,27.9868,0.551723,1474.295
1,75.2994,12.4268,0.116351,1817.177
1,95.9019,-20.1406,0.445311,738.287
0,58.9970,19.6239,0.287615,1899.097
1,98.6432,27.2740,0.061137,788.185
1,69.3863,-22.2339,0.438204,765.436
1,78.6198,3.8620,0.104016,840.446
1,95.7649,-22.3271,0.107490,877.936
1,47.0474,-12.6880,0.023000,1560.023
1,58.1826,-15.4094,0.322054,1528.906
0,13.0152,-21.1483,0.848387,1865.135
1,70.9339,24.3186,0.359600,709.183
1,62.3558,-13.8655,0.939394,637.437
1,39.4653,-26.3816,0.218347,1786.818
1,46.2088,13.1745,0.035658,1541.541
0,69.7899,25.8940,0.354455,1655.761
0,45.0686,18.4429,0.752267,681.561
0,63.8670,12.9587,0.193925,1148.547
0,5.2339,16.0969,0.968034,1677.172
1,20.1566,-9.0516,0.931376,923.750
1,52.1519,-28.5103,0.464176,1449.965
1,41.0577,-23.2878,0.154026,1689.391
1,77.7772,3.0513,0.589092,816.810
1,81.6176,0.9985,0.818354,1152.924
1,67.8674,21.9829,0.785983,899.357
0,69.3807,15.0924,0.250877,619.323
1,34.8760,-29.9885,0.071955,1615.316
1,42.5858,-9.4076,0.118957,1290.817
0,52.6800,3.7171,0.400998,1003.497
0,50.1485,-19.2487,0.756828,1652.437
1,68.4924,1.8471,0.496094,1245.481
0,65.5136,-15.6692,0.197938,1449.533
0,65.9037,21.6596,0.074478,1815.995
1,77.7581,-1.2660,0.845548,1706.715
1,47.2970,-6.1389,0.291142,784.276
0,11.6721,-2.0770,0.450318,1178.553
1,51.4618,29.6828,0.482586,921.369
1,81.7974,0.2458,0.574967,1092.882
0,18.7012,-21.2839,0.485934,1440.784
1,66.5807,-0.7515,0.523668,1381.586
1,2.2585,-9.9816,0.952351,766.489
1,28.7239,-15.6214,0.306576,857.413
1,18.9753,17.3117,0.745569,701.329
0,66.4325,-7.2956,0.793565,1469.985
0,27.3484,24.2359,0.450294,579.324
0,32.7702,24.7050,0.663953,1404.184
1,62.9247,26.5029,0.862594,1124.121
0,18.0977,-27.4583,0.304927,1932.871
1,57.8330,-18.1487,0.336692,745.530
0,39.8484,-6.0180,0.351715,862.677
0,28.7400,11.6345,0.877011,1486.636
0,11.8653,23.0008,0.899468,1661.058
0,37.5489,4.5415,0.703787,1468.056
0,24.8037,25.5560,0.329488,1487.002
1,62.1963,-25.5912,0.838318,1554.835
1,7.5962,4.0344,0.286607,1236.562
1,92.8002,3.6021,0.422168,1520.580
1,93.5338,-26.1177,0.204837,1479.914
0,29.7630,-21.4264,0.530888,1935.926
0,0.2639,-0.3759,0.691322,1342.049
1,47.2551,-25.7873,0.693714,556.036
0,21.3919,21.3355,0.173788,959.182
1,55.1413,5.8044,0.408426,1653.354
1,81.5453,-20.7886,0.023400,1009.797
0,18.3333,13.2658,0.676212,950.654
1,47.9069,2.5556,0.881034,702.918
1,58.2228,22.5551,0.725241,765.856
